Date,Room,Time,Speaker,Title,Abstract
5-Mar-2020,1L43,16:00,Fan Liu (Visiting researcher at SBE),Effect of indoor atmospheric stratification on human respiratory droplets dispersion,
27-Feb-2020,1L43,14:00,Aristofanis Tsiringakis (Wageningen University),Sources of model uncertainty: from off-line to coupled urban canopy models,
9-Jan-2020,1L43,16:00,Lewis Blunn,"1. Neighbourhood-scale Urban Dispersion Modelling Using a Canopy Approach
2. Literature review on turbulence in urban canopies",
